sede_id,sede_desc_castellano,pais_castellano,region_geografica,pais_iso_3,estado,sitio_web,redes_sociales
CALEG,Consulado  General  en  Porto  Alegre,REPÚBLICA  FEDERATIVA  DEL  BRASIL,AMÉRICA  DEL  SUR,BRA,Activo,caleg.cancilleria.gob.ar,https://twitter.com/ArgPortoAlegre  //  https://www.facebook.com/ArgentinaEnPortoAlegre/  //  https://www.instagram.com/argenportoalegre/  //  
CANTO,Consulado  en  Antofagasta,REPÚBLICA  DE  CHILE,AMÉRICA  DEL  SUR,CHL,Activo,https://canto.cancilleria.gob.ar/,https://www.facebook.com/Consulado-de-la-Rep%C3%BAblica-Argentina-en-Antofagasta-255728465291743/  //  https://www.instagram.com/consulargantofagasta/  //  
CAREN,Consulado  General  en  Punta  Arenas,REPÚBLICA  DE  CHILE,AMÉRICA  DEL  SUR,CHL,Activo,https://caren.cancilleria.gob.ar/,https://www.facebook.com/profile.php?id=100014152878593  //  
CASUN,Consulado  General  en  Asunción,REPÚBLICA  DEL  PARAGUAY,AMÉRICA  DEL  SUR,PRY,Activo,www.casun.mrecic.gov.ar,
CATLA,Consulado  General  en  Atlanta,Estados  Unidos  de  América,AMÉRICA  DEL  NORTE,USA,Activo,www.catla.mrecic.gov.ar,instagram.com/ARGenAtlanta  //  facebook.com/ARGenAtlanta  //  https://www.linkedin.com/company/ARGenAtlanta  //  x.com/ARGenAtlanta  //  
CBARC,Consulado  General  y  Centro  de  Promoción  en  Barcelona,REINO  DE  ESPAÑA,EUROPA  OCCIDENTAL,ESP,Activo,https://cbarc.cancilleria.gob.ar/,https://www.facebook.com/ArgEnBarcelona/  //  https://twitter.com/argenbarcelona  //  https://www.instagram.com/argenbarcelona/  //  https://www.youtube.com/@consuladoargentinoenbarcel2664  //  https://www.linkedin.com/company/consulado-y-centro-de-promoci%C3%B3n-de-la-republica-argentina-en-barcelona  //  
CBEIJ,Sección  Consular  en  Beijing,REPÚBLICA  POPULAR  DE  CHINA,ASIA,CHN,Activo,www.echin.cancilleria.gov.ar,
CBELO,Consulado  General  en  Belo  Horizonte,REPÚBLICA  FEDERATIVA  DEL  BRASIL,AMÉRICA  DEL  SUR,BRA,Activo,,https://www.facebook.com/ArgentinaEnBeloHorizonte/  //  https://twitter.com/consgralbelo  //  https://www.instagram.com/consgralbelo/  //  
CBONN,Consulado  en  Bonn,REPÚBLICA  FEDERAL  DE  ALEMANIA,EUROPA  OCCIDENTAL,DEU,Activo,cbonn.cancilleria.gob.ar,https://www.facebook.com/ConsuladoArgentinoenBonn  //  http://www.instagram.com/argentinaenbonn  //  
CCADI,Consulado  en  Cádiz,REINO  DE  ESPAÑA,EUROPA  OCCIDENTAL,ESP,Activo,https://ccadi.cancilleria.gob.ar/,www.facebook.com/ArgentinaEnCadiz  //  
CCEST,Consulado  General  en  Ciudad  del  Este,REPÚBLICA  DEL  PARAGUAY,AMÉRICA  DEL  SUR,PRY,Activo,ccest.cancilleria.gov.ar/,https://www.facebook.com/ArgEnCiudaddeleste/  //  https://www.instagram.com/argenciudaddeleste  //  
CCHIC,Consulado  General  en  Chicago,Estados  Unidos  de  América,AMÉRICA  DEL  NORTE,USA,Activo,https://cchic.cancilleria.gob.ar/,https://twitter.com/argenchicago  //  https://www.facebook.com/ArgentinaEnChicago  //  https://www.youtube.com/channel/UCjZ3a6zTr156aP_zg-1lQfQ/featured  //  consulado_argentino_chicago  //  
CCOCH,Consulado  en  Cochabamba,ESTADO  PLURINACIONAL  DE  BOLIVIA,AMÉRICA  DEL  SUR,BOL,Activo,https://ccoch.cancilleria.gob.ar,https://www.facebook.com/ArgentinaEnCochabamba/  //  
CCOLO,Consulado  en  Colonia,REPÚBLICA  ORIENTAL  DEL  URUGUAY,AMÉRICA  DEL  SUR,URY,Activo,ccolo.mrecic.gov.ar,https://www.facebook.com/ArgentinaenColonia  //  
CCONC,Consulado  en  Concepción,REPÚBLICA  DE  CHILE,AMÉRICA  DEL  SUR,CHL,Activo,http://www.cconc.mrecic.gov.ar/,
CCURI,Consulado  en  Curitiba,REPÚBLICA  FEDERATIVA  DEL  BRASIL,AMÉRICA  DEL  SUR,BRA,Activo,ccuri.cancilleria.gob.ar  ,https://www.facebook.com/ArgEnCuritiba/  //  https://instagram.com/argEncuritiba  //  https://twitter.com/ARGenCuri  //  
CENCA,Consulado  General  en  Encarnación,REPÚBLICA  DEL  PARAGUAY,AMÉRICA  DEL  SUR,PRY,Activo,www.cenca.mrecic.gov.ar,
CFBEN,Consulado  en  Fray  Bentos,REPÚBLICA  ORIENTAL  DEL  URUGUAY,AMÉRICA  DEL  SUR,URY,Activo,cfben.cancilleria.gov.ar,
CFDIG,Consulado  en  Foz  de  Iguazu,REPÚBLICA  FEDERATIVA  DEL  BRASIL,AMÉRICA  DEL  SUR,BRA,Activo,https://cfdig.cancilleria.gob.ar,https://twitter.com/argentinaenfoz  //  https://www.facebook.com/ArgentinaEnFozDeIguazu  //  https://www.instagram.com/argentinaenfoz/  //  
CFLOR,Consulado  en  Florianopolis,REPÚBLICA  FEDERATIVA  DEL  BRASIL,AMÉRICA  DEL  SUR,BRA,Activo,cflor.mrecic.gov.ar,https://www.instagram.com/argenflorianopolis  //  https://www.facebook.com/cflor.mrecic.gov.ar  //  
CFRAN,Consulado  General  y  Centro  de  Promoción  en  Francfort,REPÚBLICA  FEDERAL  DE  ALEMANIA,EUROPA  OCCIDENTAL,DEU,Activo,www.cfran.mrecic.gov.ar,
CGEST,Consulado  General  y  Centro  de  Promoción  en  Estambul,República  de  Türkiye,EUROPA  OCCIDENTAL,TUR,Activo,cgest.cancilleria.gob.ar,https://www.facebook.com/ArgentinaEnEstambul  //  https://www.instagram.com/consuladoargentinoenestambul/  //  
CGMUM,Consulado  General  y  Centro  de  Promoción  en  Mumbai,REPÚBLICA  DE  LA  INDIA,ASIA,IND,Activo,https://cgmum.cancilleria.gob.ar/,https://www.instagram.com/argenmumbai/  //  
CGPAZ,Consulado  General  en  La  Paz,ESTADO  PLURINACIONAL  DE  BOLIVIA,AMÉRICA  DEL  SUR,BOL,Activo,cgpaz.cancilleria.gob.ar,
CGTEL,Consulado  General  en  Tel  Aviv,ESTADO  DE  ISRAEL,ASIA,ISR,Activo,http://cgtel.mrecic.gob.ar,https://www.facebook.com/ArgentinaEnIsrael/  //  
CGUAN,Consulado  General  en  Guangzhou,REPÚBLICA  POPULAR  DE  CHINA,ASIA,CHN,Activo,cguan.cancilleria.gob.ar,
CGUAY,Consulado  en  Guayaquil,REPÚBLICA  DEL  ECUADOR,AMÉRICA  DEL  SUR,ECU,Activo,cguay.cancilleria.gob.ar,
CGVAN,Consulado  General  en  Vancouver,CANADÁ,AMÉRICA  DEL  NORTE,CAN,Activo,cgvan.cancilleria.gob.ar,
CHAMB,Consulado  General  en  Hamburgo,REPÚBLICA  FEDERAL  DE  ALEMANIA,EUROPA  OCCIDENTAL,DEU,Activo,chamb.cancilleria.gob.ar,https://www.instagram.com/consulado.argentino.hamburgo  //  https://www.facebook.com/ARGenHamburgo  //  
CHONG,Consulado  General  en  Hong  Kong,REPÚBLICA  POPULAR  DE  CHINA,ASIA,CHN,Activo,https://chong.cancilleria.gob.ar,https://www.facebook.com/ArgEnHongKong  //  https://www.instagram.com/consuladoargentinohongkong/  //  
CHOUS,Consulado  General  en  Houston,Estados  Unidos  de  América,AMÉRICA  DEL  NORTE,USA,Activo,www.chous.mrecic.gov.ar,https://x.com/ARGENHOUSTON  //  https://www.facebook.com/ArgentinaEnHouston/  //  https://www.instagram.com/consuladoarghouston/  //  
CJOHA,Consulado  General  en  Johannesburgo,REPÚBLICA  DE  SUDÁFRICA,ÁFRICA  SUBSAHARIANA,ZAF,Activo,http://www.cjoha.mrecic.gob.ar,
CLANG,Consulado  General  y  Centro  de  Promoción  en  Los  Ángeles,Estados  Unidos  de  América,AMÉRICA  DEL  NORTE,USA,Activo,https://clang.cancilleria.gob.ar,https://www.facebook.com/ArgentinaEnLosAngeles/  //  https://www.instagram.com/arg_clang/  //  https://twitter.com/arg_clang  //  
CLIMA,Consulado  General  en  Lima,REPÚBLICA  DEL  PERÚ,AMÉRICA  DEL  SUR,PER,Activo,https://clima.cancilleria.gob.ar,
CLOND,Consulado  General  en  Londres,REINO  UNIDO  DE  GRAN  BRETAÑA  E  IRLANDA  DEL  NORTE,EUROPA  OCCIDENTAL,GRB,Activo,www.clond.cancilleria.gob.ar,https://www.instagram.com/consuladoargentinoenlondres/  //  
CMADR,Consulado  General  en  Madrid,REINO  DE  ESPAÑA,EUROPA  OCCIDENTAL,ESP,Activo,https://cmadr.cancilleria.gob.ar,https://www.facebook.com/ArgentinaEnMadridEsp/  //  https://www.instagram.com/consuladoargentinoenmadrid?igsh=MW1wMHQzbzhqMGwwbw==  //  
CMALD,Consulado  en  Maldonado,REPÚBLICA  ORIENTAL  DEL  URUGUAY,AMÉRICA  DEL  SUR,URY,Activo,cmald.cancilleria.gov.ar,https://www.facebook.com/pg/ConsuladoArgentinoenMaldonado/posts/?ref=page_internal  //  https://www.instagram.com/consulado_argentino/  //  
CMALL,Consulado  en  Palma,REINO  DE  ESPAÑA,EUROPA  OCCIDENTAL,ESP,Activo,cmall.mrecic.gov.ar,https://www.facebook.com/ArgentinaEnPalmaDeMallorca  //  https://www.instagram.com/argentinaenpalmademallorca/  //  
CMDEO,Consulado  General  en  Montevideo,REPÚBLICA  ORIENTAL  DEL  URUGUAY,AMÉRICA  DEL  SUR,URY,Activo,cmdeo.mrecic.gov.ar,https://www.facebook.com/ArgentinaEnMontevideo/  //  https://www.instagram.com/consuladoargenmontevideo  //  
CMEXI,Consulado  General  en  México,ESTADOS  UNIDOS  MEXICANOS,AMÉRICA  DEL  NORTE,MEX,Activo,https://cmexi.cancilleria.gob.ar,
CMIAM,Consulado  General  y  Centro  de  Promoción  en  Miami,Estados  Unidos  de  América,AMÉRICA  DEL  NORTE,USA,Activo,www.cmiam.cancilleria.gov.ar,https://es-la.facebook.com/consuladoargentino.miami/  //  instagram.com/consuladoargentinomia/  //  https://x.com/argenmiami/  //  
CMILA,Consulado  General  y  Centro  de  Promoción  en  Milán,REPÚBLICA  ITALIANA,EUROPA  OCCIDENTAL,ITA,Activo,cmila.cancilleria.gob.ar,https://www.instagram.com/argenmilano/  //  https://www.youtube.com/channel/UCZdYeN4gttYEyX15xxkUNWQ  //  
CMREA,Consulado  General  en  Montreal,CANADÁ,AMÉRICA  DEL  NORTE,CAN,Activo,https://cmrea.cancilleria.gob.ar,https://www.facebook.com/ArgentinaEnMontreal  //  https://www.instagram.com/consuladoargenmontreal/  //  https://www.youtube.com/@consuladodelarepublicadear8025  //  
CNYOR,Consulado  General  y  Centro  de  Promoción  en  Nueva  York,Estados  Unidos  de  América,AMÉRICA  DEL  NORTE,USA,Activo,https://cnyor.cancilleria.gob.ar,https://www.facebook.com/ARGenNewYork  //  https://twitter.com/ARGenNewYork  //  https://www.instagram.com/argennewyork/  //  https://www.youtube.com/@ARGenNewYork  //  https://www.linkedin.com/company/argennewyork  //  
CPABL,Consulado  General  y  Centro  de  Promoción  en  San  Pablo,REPÚBLICA  FEDERATIVA  DEL  BRASIL,AMÉRICA  DEL  SUR,BRA,Activo,www.cpabl.mrecic.gov.ar,consuladoargentinosp@gmail.com  //  
CPAYS,Consulado  en  Paysandú,REPÚBLICA  ORIENTAL  DEL  URUGUAY,AMÉRICA  DEL  SUR,URY,Activo,www.cpays.mrecic.gov.ar,
CPCAR,Consulado  en  Playa  del  Carmen,ESTADOS  UNIDOS  MEXICANOS,AMÉRICA  DEL  NORTE,MEX,Activo,cpcar.cancilleria.gob.ar,
CPMON,Consulado  en  Puerto  Montt,REPÚBLICA  DE  CHILE,AMÉRICA  DEL  SUR,CHL,Activo,http://cpmon.mrecic.gov.ar/,https://www.facebook.com/ArgentinaEnPuertoMontt/  //  
CRECI,Consulado  en  Recife,REPÚBLICA  FEDERATIVA  DEL  BRASIL,AMÉRICA  DEL  SUR,BRA,Activo,creci.mrecic.gov.ar,https://www.facebook.com/ArgentinaEnBrasilRecife  //  https://www.instagram.com/consuladoargentinorecife  //  
CRIOJ,Consulado  General  en  Rio  de  Janeiro,REPÚBLICA  FEDERATIVA  DEL  BRASIL,AMÉRICA  DEL  SUR,BRA,Activo,crioj.cancilleria.gov.ar,https://www.facebook.com/ArgentinaEnRiodeJaneiro/  //  https://www.instagram.com/consuladoargentinoenrio/  //  
CROMA,Consulado  General  en  Roma,REPÚBLICA  ITALIANA,EUROPA  OCCIDENTAL,ITA,Activo,www.croma.mrecic.gov.ar,https://www.facebook.com/ArgEnRoma  //  https://www.instagram.com/consuladoargentinoenroma  //  
CSBAH,Consulado  en  Salvador  de  Bahía,REPÚBLICA  FEDERATIVA  DEL  BRASIL,AMÉRICA  DEL  SUR,BRA,Activo,https://csbah.cancilleria.gob.ar,https://www.instagram.com/argentinaensalvador  //  https://www.facebook.com/ArgentinaenSalvador  //  https://twitter.com/ArgentinaEnSSA  //  
CSCRS,Consulado  General  y  Centro  de  Promoción  en  Santa  Cruz,ESTADO  PLURINACIONAL  DE  BOLIVIA,AMÉRICA  DEL  SUR,BOL,Activo,https://cscrs.cancilleria.gob.ar/,www.instagram.com/consuladoargentinoscz  //  https://www.facebook.com/profile.php?id=100069410160459&mibextid=ZbWKwL  //  
CSHAN,Consulado  General  y  Centro  de  Promoción  en  Shanghái,REPÚBLICA  POPULAR  DE  CHINA,ASIA,CHN,Activo,www.cshan.mrecic.gov.ar,
CSIDN,Consulado  General  en  Sidney,AUSTRALIA,OCEANÍA,AUS,Activo,http://csidn.mrecic.gov.ar,https://www.facebook.com/ArgentinaEnSidney/  //  https://www.instagram.com/argentinaensydney/  //  
CSIGO,Consulado  General  en  Santiago,REPÚBLICA  DE  CHILE,AMÉRICA  DEL  SUR,CHL,Activo,www.csigo.mrecic.gov.ar,http://www.x.com/ConsuladoCSIGO  //  
CSLTO,Consulado  en  Salto,REPÚBLICA  ORIENTAL  DEL  URUGUAY,AMÉRICA  DEL  SUR,URY,Activo,www.cslto.mrecic.gov.ar,@consuladoargentinoensalto  //  
CTARI,Consulado  General  en  Tarija,ESTADO  PLURINACIONAL  DE  BOLIVIA,AMÉRICA  DEL  SUR,BOL,Activo,ctari.mrecic.gov.ar,
CTENE,Consulado  en  Tenerife,REINO  DE  ESPAÑA,EUROPA  OCCIDENTAL,ESP,Activo,www.ctene.cancilleria.gov.ar,www.facebook.com/argentinaentenerife  //  
CTORO,Consulado  General  en  Toronto,CANADÁ,AMÉRICA  DEL  NORTE,CAN,Activo,www.ctoro.mrecic.gov.ar,https://www.facebook.com/ArgentinaEnToronto/  //  https://www.instagram.com/consuladoargtoronto/  //  
CURUG,Consulado  en  Uruguayana,REPÚBLICA  FEDERATIVA  DEL  BRASIL,AMÉRICA  DEL  SUR,BRA,Activo,Curug.Cancilleria.gov.ar,https://www.facebook.com/ArgEnUruguayana/  //  https://twitter.com/CURUGoK  //  https://instagram.com/consuladouruguayana  //  
CVALP,Consulado  General  en  Valparaíso,REPÚBLICA  DE  CHILE,AMÉRICA  DEL  SUR,CHL,Activo,cvalp.cancilleria.gob.ar,https://www.facebook.com/ArgentinaEnValparaiso  //  https://www.instagram.com/argenvalparaiso/  //  
CVIGO,Consulado  General  en  Vigo,REINO  DE  ESPAÑA,EUROPA  OCCIDENTAL,ESP,Activo,http://cvigo.cancilleria.gob.ar,https://www.facebook.com/ArgentinaenVigo  //  https://www.instagram.com/argenvigo/  //  
CVILL,Consulado  en  Villazon,ESTADO  PLURINACIONAL  DE  BOLIVIA,AMÉRICA  DEL  SUR,BOL,Activo,cvill.cancilleria.gob.ar,https://www.facebook.com/ConsuladoArgentinoenVillazon  //  https://twitter.com/ArgentinaenVill  //  
CYACU,Consulado  en  Yacuiba,ESTADO  PLURINACIONAL  DE  BOLIVIA,AMÉRICA  DEL  SUR,BOL,Activo,https://cyacu.cancilleria.gob.ar,
DIGAC,Argentinos  en  el  exterior,REPÚBLICA  ARGENTINA,AMÉRICA  DEL  SUR,ARG,Activo,cancilleria.gob.ar,
EALEM,Embajada  en  Alemania,REPÚBLICA  FEDERAL  DE  ALEMANIA,EUROPA  OCCIDENTAL,DEU,Activo,https://ealem.cancilleria.gob.ar,https://www.facebook.com/ArgEnAlemania/  //  https://www.instagram.com/argindeu/  //  
EANGO,Embajada  en  Angola,REPÚBLICA  DE  ANGOLA,ÁFRICA  SUBSAHARIANA,AGO,Activo,eango.mrecic.gov.ar,https://www.facebook.com/ArgentinaEnAngola/  //  https://www.instagram.com/embargentinaenangola/  //  
EARAB,Embajada  en  Arabia  Saudita,REINO  DE  ARABIA  SAUDITA,ASIA,SAU,Activo,http://earab.mrecic.gov.ar,https://www.facebook.com/argentinaenarabiasaudita/  //  https://twitter.com/ensaudita  //  https://www.instagram.com/arginsaudi/  //  
EARGE,Embajada  en  Argelia,REPÚBLICA  ARGELINA  DEMOCRÁTICA  Y  POPULAR,ÁFRICA  DEL  NORTE  Y  CERCANO  ORIENTE,DZA,Activo,https://earge.cancilleria.gob.ar/,https://twitter.com/ARGenArgelia  //  https://instagram.com/argenargelia  //  facebook.com/ArgentinaEnArgelia  //  
EARME,Embajada  en  Armenia,REPÚBLICA  DE  ARMENIA,ASIA,ARM,Activo,earme.cancilleria.gob.ar,https://www.instagram.com/arginarmenia/  //  https://www.facebook.com/ArgentinaEnArmenia  //  https://twitter.com/ARGinArmenia  //  
EASIR,Embajada  en  Siria,REPÚBLICA  ÁRABE  SIRIA,ASIA,SYR,Activo,www.easir.cancilleria.gob.ar,https://www.facebook.com/Embajada-Argentina-en-Siria-112176794025495  //  
EAUST,Embajada  en  Australia,AUSTRALIA,OCEANÍA,AUS,Activo,http://eaust.mrecic.gov.ar,https://www.facebook.com/ArgentinaEnAustralia/  //  https://twitter.com/ARGinAustralia  //  
EAZER,Embajada  en  Azerbaiyán,REPÚBLICA  DE  AZERBAIYÁN,ASIA,AZE,Activo,eazer.cancilleria.gob.ar,https://www.facebook.com/EmbassyOfArgentina/  //  www.instagram.com/embargentinaaz  //  www.twitter.com/ARGEnAzer  //  
EBANG,Embajada  en  Bangladesh,REPÚBLICA  POPULAR  DE  BANGLADESH,ASIA,BGD,Activo,ebang.cancilleria.gob.ar,EmbARGenBGD  //  embajada.argentina.en.bangladesh  //  embargenbgd  //  https://www.linkedin.com/showcase/argenbangladesh/  //  
EBARB,Embajada  en  Barbados,BARBADOS,AMÉRICA  CENTRAL  Y  CARIBE,BRB,Activo,ebarb.cancilleria.gob.ar,https://www.facebook.com/ArgentinaEnBarbados/  //  
EBELG,Embajada  en  Bélgica,Reino  de  Bélgica,EUROPA  OCCIDENTAL,BEL,Activo,http://ebelg.cancilleria.gob.ar,https://www.facebook.com/ArgentinaEnBelgica/  //  https://www.instagram.com/argenbelgica/  //  
EBOLV,Embajada  en  Bolivia,ESTADO  PLURINACIONAL  DE  BOLIVIA,AMÉRICA  DEL  SUR,BOL,Activo,ebolv.mrecic.gov.ar,https://twitter.com/embaargbolivia  //  https://www.facebook.com/EmbajadaArgentinaBolivia  //  https://www.instagram.com/embajada_argentina_en_bolivia/  //  
